"X5010_1_S1"	"X5010_2_S2"	"X5010_3_S3"	"X5010_4_S4"	"X5010_5_S5"	"X5010_6_S6"	"X5010_7_S7"	"X5010_8_S8"	"X5010_9_S9"	"X5010_10_S10"	"X5010_11_S11"	"X5010_12_S12"	"X5010_13_S13"	"X5010_14_S14"	"X5010_15_S15"	"X5010_16_S16"	"X5010_17_S17"	"X5010_18_S18"	"X5010_19_S19"	"X5010_20_S20"	"X5010_21_S21"	"X5010_22_S22"	"X5010_23_S23"	"X5010_24_S24"	"X5010_25_S25"	"X5010_26_S26"
"ENA|HBXI01089505|HBXI01089505.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.36667613160667	9.66392883395722	7.34420836223174	5.34552107004698	0	0	8.7135390941912	0	10.0616651535857	0	8.85939153511123	9.34709566996865
"ENA|HBXI01097869|HBXI01097869.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7977451410264	0	8.88531329546237	7.57632152445744	8.35628792307033	5.47900445085008	5.99807619181	0	0
"ENA|HBXI01061771|HBXI01061771.1"	0	0	0	0	0	0	0	0	0	7.40007336189216	0	0	7.43279367986147	0	0	0	6.24860736333853	0	0	0	0	5.29322389983587	7.26782154478971	0	2.81124115926721	0
"ENA|HBXI01135226|HBXI01135226.1"	0	10.0120303451301	0	0	0	4.02360512684316	0	9.49410263570152	0	9.28061749726971	0	0	0	0	0	0	0	0	0	0	8.79196666969395	0	0	0	0	0
"ENA|HBXI01004523|HBXI01004523.1"	0	0	0	6.21125483883194	7.55204100176086	0	5.69570740595248	0	0	6.71084760657628	0	0	0	0	0	8.30547561864985	0	0	0	0	0	0	0	0	0	0
"ENA|HBXI01011121|HBXI01011121.1"	0	0	0	0	0	0	7.99519362212708	0	0	0	0	0	0	0	0	8.61851888825451	4.30443478683855	0	4.70967612021963	0	0	0	0	9.12167608565152	10.9819128337382	0
"ENA|HBXI01092040|HBXI01092040.1"	0	9.40341781354872	0	0	9.36281390923576	0	0	0	0	8.34046916806973	0	0	0	0	0	8.37904949306397	0	0	0	0	0	0	0	0	0	0
"ENA|HBXI01082176|HBXI01082176.1"	0	0	0	0	0	0	0	0	0	0	0	0	7.89066762995078	0	0	0	7.27751689786653	0	7.28167256067055	0	0	0	0	8.03802037820147	0	0
"ENA|HBXI01040832|HBXI01040832.1"	0	0	0	0	0	6.40857064976768	0	0	0	6.89492839133392	4.92461292596531	6.68207924137984	0	6.54011225233346	0	0	0	0	0	0	0	0	0	0	0	0
"ENA|HBXI01094688|HBXI01094688.1"	0	0	0	0	0	0	0	0	0	0	0	0	6.56920395781217	0	0	0	0	0	0	0	0	6.30987888151765	0	5.17625185450706	0	7.67047135608757
