target_id	length	eff_length	est_counts	tpm
contig_100	2723	2428.65	38.0818	18.1927
contig_1000	4535	4240.65	50.6239	13.8505
contig_1003	1626	1331.65	43.0236	37.4852
contig_1005	580	297.407	3.22824	12.5938
contig_1006	534	256.193	46.1539	209.019
contig_1007	4129	3834.65	848.694	256.785
contig_1008	549	269.584	161.795	696.332
contig_101	1199	904.652	155.942	199.998
contig_1010	81783	81488.7	4888.3	69.5992
contig_1011	1742	1447.65	94.7051	75.902
contig_1012	1157	862.652	16.7741	22.5604
contig_1013	2495	2200.65	1808.72	953.594
contig_1015	101196	100902	4717.96	54.25
contig_1016	2386	2091.65	166.501	92.3571
contig_1017	1223	928.652	0	0
contig_1019	1484	1189.65	462.406	450.97
contig_1020	1282	987.652	1	1.17473
contig_1021	624	338.093	67.5685	231.874
contig_1023	4635	4340.65	92.7867	24.8013
contig_1025	700	409.628	0	0
contig_1026	550	270.444	3	12.8703
contig_1027	572	290.042	193	772.042
contig_1028	1755	1460.65	1.01981	0.810062
contig_1029	908	613.901	128.078	242.058
contig_1031	880	586.304	6.98924	13.8309
contig_1032	1427	1132.65	18	18.4383
contig_1033	860	566.527	0	0
contig_1035	9400	9105.65	1474.49	187.877
contig_1036	869	575.464	4.92397	9.92754
contig_1038	1002	707.652	0	0
contig_1039	2155	1860.65	16.2159	10.1116
contig_1040	1050	755.652	1324.24	2033.24
contig_1041	7648	7353.65	16.7128	2.63688
contig_1042	536	258.074	0	0
contig_1043	514	239.135	0	0
contig_1044	4331	4036.65	34.815	10.0066
contig_1045	961	666.691	8.42595	14.6635
contig_1046	6218	5923.65	138.471	27.1214
contig_1048	1529	1234.65	138.585	130.232
contig_1051	891	597.271	127.926	248.502
contig_1052	1399	1104.65	52.6299	55.2778
contig_1053	833	539.77	171.661	368.982
contig_1054	1581	1286.65	201.645	181.832
contig_1055	272	73.3677	22.4965	355.758
contig_106	1144	849.652	5	6.82767
contig_1060	8988	8693.65	1614.81	215.508
contig_1061	2683	2388.65	0	0
contig_1062	1407	1112.65	17.2616	17.9997
contig_1063	519	243.193	0	0
contig_1064	2305	2010.65	130.457	75.2788
contig_1067	5292	4997.65	673.961	156.463
contig_1068	2935	2640.65	117.513	51.6318
contig_1069	2626	2331.65	290.336	144.471
contig_107	963	668.691	33	57.2575
contig_1070	1530	1235.65	16.3581	15.3596
contig_1071	843	549.65	85.0385	179.504
contig_1072	1947	1652.65	355.45	249.541
contig_1074	331	107.014	1.11144	12.05
contig_1075	597	313.004	4.96225	18.3939
contig_1076	728	436.546	7.74386	20.5812
contig_1077	5393	5098.65	275.23	62.6302
contig_1078	1128	833.652	1.0647	1.48179
contig_1079	3209	2914.65	188.28	74.9483
contig_1080	6678	6383.65	15.9714	2.90281
contig_1081	638	351.165	1	3.30394
contig_1082	596	312.075	22.7119	84.4381
contig_1083	598	313.88	0	0
contig_1085	608	322.913	2.01957	7.25633
contig_1087	539	260.759	0	0
contig_1088	522	245.808	15	70.8009
contig_1089	853	559.558	0	0
contig_1090	1123	828.652	7.46311	10.4494
contig_1091	690	399.988	0	0
contig_1092	516	240.771	0	0
contig_1093	583	300.186	520.208	2010.62
contig_1094	703	412.468	426.383	1199.37
contig_1095	25290	24995.7	3575.33	165.957
contig_1096	3673	3378.65	399.881	137.319
contig_1097	546	266.923	0	0
contig_110	3474	3179.65	56.8835	20.7563
contig_1100	7086	6791.65	248.859	42.5129
contig_1101	1463	1168.65	125.892	124.985
contig_1102	1440	1145.65	13.8457	14.0219
contig_1103	11461	11166.7	938.515	97.513
contig_1104	4914	4619.65	99.5522	25.0026
contig_1105	670	381.031	0	0
contig_1106	1695	1400.65	239.563	198.442
contig_1108	1287	992.652	120.706	141.084
contig_111	535	257.118	0	0
contig_1110	559	278.564	116.127	483.674
contig_1111	975	680.691	4.61509	7.86637
contig_1112	2014	1719.65	16.0769	10.8469
contig_1113	571	289.091	0	0
contig_1114	832	538.77	0.000415172	0.000894064
contig_1115	3083	2788.65	18.8342	7.83605
contig_1116	682	392.385	9.66107	28.5665
contig_1117	943	648.762	1154.58	2064.82
contig_1118	571	289.091	16.106	64.6393
contig_112	1402	1107.65	12.7134	13.3169
contig_1121	1908	1613.65	673.649	484.359
contig_1122	927	632.798	143.9	263.839
contig_1123	719	427.977	232.069	629.131
contig_1124	533	255.355	11.4414	51.985
contig_1125	3756	3461.65	15.9245	5.33735
contig_1126	884	590.271	0.00596071	0.0117163
contig_1128	1344	1049.65	5.41576	5.98629
contig_1129	1851	1556.65	215.865	160.892
contig_1131	755	462.895	0	0
contig_1132	1130	835.652	1.11613	1.54965
contig_1133	6119	5824.65	3077.82	613.079
contig_1136	2116	1821.65	4.12611	2.62796
contig_1138	686	396.253	0	0
contig_114	5027	4732.65	88.0565	21.5874
contig_1142	773	480.477	0	0
contig_1143	1016	721.652	3.55511	5.7157
contig_1144	549	269.584	17.9105	77.0829
contig_1145	1060	765.652	2.03034	3.07667
contig_1148	525	248.42	3.51788	16.43
contig_1149	5411	5116.65	567.978	128.792
contig_1150	5493	5198.65	408.658	91.2039
contig_1151	595	311.18	172.719	643.978
contig_1152	1526	1231.65	35.9878	33.9009
contig_1153	1318	1023.65	11.6562	13.2114
contig_1154	3274	2979.65	79.8618	31.0969
contig_1155	1196	901.652	35.8289	46.104
contig_1158	2491	2196.65	100.717	53.1968
contig_1159	1620	1325.65	2	1.75043
contig_1160	692	401.899	2	5.77374
contig_1161	584	301.118	5.01701	19.3309
contig_1164	28826	28531.7	1825.96	74.2522
contig_1169	646	358.767	6.84858	22.1479
contig_1170	5237	4942.65	774.709	181.854
