V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
ENA	HBWO01000022.1	1	NA	NA	NA	NA
ENA	HBWO01000027.1	1393	NA	NA	NA	NA
ENA	HBWO01000037.1	1	NA	NA	NA	NA
ENA	HBWO01000041.1	238	NA	NA	NA	NA
ENA	HBWO01000043.1	3967	NA	NA	NA	NA
ENA	HBWO01000044.1	3889	NA	NA	NA	NA
ENA	HBWO01000083.1	42	NA	NA	NA	NA
ENA	HBWO01000111.1	23	NA	NA	NA	NA
ENA	HBWO01000114.1	23	NA	NA	NA	NA
ENA	HBWO01000118.1	47	NA	NA	NA	NA
ENA	HBWO01000131.1	1	NA	NA	NA	NA
ENA	HBWO01000132.1	1	NA	NA	NA	NA
ENA	HBWO01000154.1	10	NA	NA	NA	NA
ENA	HBWO01000156.1	10	NA	NA	NA	NA
ENA	HBWO01000158.1	10	NA	NA	NA	NA
ENA	HBWO01000161.1	10	NA	NA	NA	NA
ENA	HBWO01000166.1	637	NA	NA	NA	NA
ENA	HBWO01000168.1	92	NA	NA	NA	NA
ENA	HBWO01000172.1	197	NA	NA	NA	NA
ENA	HBWO01000173.1	92	NA	NA	NA	NA
ENA	HBWO01000174.1	288	NA	NA	NA	NA
ENA	HBWO01000192.1	348	NA	NA	NA	NA
ENA	HBWO01000193.1	364	NA	NA	NA	NA
ENA	HBWO01000194.1	364	NA	NA	NA	NA
ENA	HBWO01000196.1	364	NA	NA	NA	NA
ENA	HBWO01000197.1	11	NA	NA	NA	NA
ENA	HBWO01000218.1	1	NA	NA	NA	NA
ENA	HBWO01000219.1	1	NA	NA	NA	NA
ENA	HBWO01000232.1	28	NA	NA	NA	NA
ENA	HBWO01000233.1	41	NA	NA	NA	NA
ENA	HBWO01000234.1	28	NA	NA	NA	NA
ENA	HBWO01000235.1	41	NA	NA	NA	NA
ENA	HBWO01000236.1	171	NA	NA	NA	NA
ENA	HBWO01000237.1	41	NA	NA	NA	NA
ENA	HBWO01000238.1	28	NA	NA	NA	NA
ENA	HBWO01000239.1	28	NA	NA	NA	NA
ENA	HBWO01000240.1	28	NA	NA	NA	NA
ENA	HBWO01000243.1	41	NA	NA	NA	NA
ENA	HBWO01000258.1	249	NA	NA	NA	NA
ENA	HBWO01000258.1	198	NA	NA	NA	NA
ENA	HBWO01000258.1	276	NA	NA	NA	NA
ENA	HBWO01000258.1	333	NA	NA	NA	NA
ENA	HBWO01000258.1	305	NA	NA	NA	NA
ENA	HBWO01000258.1	171	NA	NA	NA	NA
ENA	HBWO01000258.1	360	NA	NA	NA	NA
ENA	HBWO01000258.1	389	NA	NA	NA	NA
ENA	HBWO01000259.1	521	NA	NA	NA	NA
ENA	HBWO01000259.1	449	NA	NA	NA	NA
ENA	HBWO01000259.1	507	NA	NA	NA	NA
ENA	HBWO01000259.1	381	NA	NA	NA	NA
ENA	HBWO01000259.1	309	NA	NA	NA	NA
ENA	HBWO01000259.1	366	NA	NA	NA	NA
ENA	HBWO01000260.1	512	NA	NA	NA	NA
ENA	HBWO01000260.1	431	NA	NA	NA	NA
ENA	HBWO01000260.1	428	NA	NA	NA	NA
ENA	HBWO01000260.1	375	NA	NA	NA	NA
