V1.x	V2.x	V3	V4.x	V5.x	V6.x	V7.x	V8.x	V9.x	V1.y	V2.y	V4.y	V5.y	V6.y	V7.y	V8.y	V9.y	V10	V11	V12	V13	V14	V15	V16	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology..molecular.function.	Gene.Ontology..GO.	Gene.Ontology..biological.process.	Gene.Ontology..cellular.component.	Gene.Ontology.IDs	Interacts.with	EC.number	Reactome	UniPathway	InterPro
ENA	HBXI01000282	HBXI01000282.1	10785.1007252411	0.390401357378876	0.110184336461187	3.54316566144951	3.95354264658291e-4	0.0375869027719842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01001137	HBXI01001137.1	265.786801907878	-0.441150615577295	0.107666506562387	-4.0973802314434	4.17852238082971e-5	0.0114411698762291	ENA	HBXI01001137	sp	P48444	COPD_HUMAN	47.222	216	113	1	1	648	296	510	7.34e-67	219	reviewed	COPD_HUMAN	Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)	ARCN1 COPD	Homo sapiens (Human)	511	RNA binding [GO:0003723]	COPI vesicle coat [GO:0030126]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; transport vesicle [GO:0030133]; RNA binding [GO:0003723]; adult locomotory behavior [GO:0008344]; cerebellar Purkinje cell layer maturation [GO:0021691]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi localization [GO:0051645]; intracellular protein transport [GO:0006886]; pigmentation [GO:0043473]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	adult locomotory behavior [GO:0008344]; cerebellar Purkinje cell layer maturation [GO:0021691]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi localization [GO:0051645]; intracellular protein transport [GO:0006886]; pigmentation [GO:0043473]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	COPI vesicle coat [GO:0030126]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; transport vesicle [GO:0030133]	GO:0000139; GO:0003723; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0006890; GO:0008344; GO:0016020; GO:0021691; GO:0030126; GO:0030133; GO:0043473; GO:0051645	P53618; P42858; Q9BQE6-2		R-HSA-6807878;R-HSA-6811434;		IPR036168;IPR022775;IPR027059;IPR011012;IPR028565;
ENA	HBXI01001218	HBXI01001218.1	11.5377730515638	22.0916930031016	2.95436019747236	7.47765726806177	7.56592007572484e-14	3.07289843875564e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01001274	HBXI01001274.1	313.643878068576	0.444682195514467	0.0851937450667532	5.21965779490076	1.79254032883891e-7	2.49613801562717e-4	ENA	HBXI01001274	sp	Q8C3B8	RFT1_MOUSE	39.265	517	294	8	94	1608	1	509	1.7e-98	316	reviewed	RFT1_MOUSE	Protein RFT1 homolog	Rft1	Mus musculus (Mouse)	541		endoplasmic reticulum membrane [GO:0005789]; carbohydrate transport [GO:0008643]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; glycolipid translocation [GO:0034203]	carbohydrate transport [GO:0008643]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; glycolipid translocation [GO:0034203]	endoplasmic reticulum membrane [GO:0005789]	GO:0005789; GO:0006488; GO:0008643; GO:0034203					IPR007594;
ENA	HBXI01001734	HBXI01001734.1	473.136315234132	-0.35075640348077	0.0909328999696919	-3.85731021003044	1.1464163111477e-4	0.0199550136331131	ENA	HBXI01001734	sp	Q9NDJ2	DOM_DROME	51.483	843	352	17	2912	456	1510	2319	0	737	reviewed	DOM_DROME	Helicase domino (EC 3.6.4.-)	dom CG9696	Drosophila melanogaster (Fruit fly)	3198	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent chromatin remodeler activity [GO:0140658]; ATP-dependent H2AZ histone chaperone activity [GO:0140849]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone binding [GO:0042393]; histone chaperone activity [GO:0140713]	histone acetyltransferase complex [GO:0000123]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent chromatin remodeler activity [GO:0140658]; ATP-dependent H2AZ histone chaperone activity [GO:0140849]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone binding [GO:0042393]; histone chaperone activity [GO:0140713]; cell cycle [GO:0007049]; chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; dendrite guidance [GO:0070983]; dendrite morphogenesis [GO:0048813]; DNA repair-dependent chromatin remodeling [GO:0140861]; hemopoiesis [GO:0030097]; male germ-line stem cell population maintenance [GO:0036098]; negative regulation of gene expression [GO:0010629]; negative regulation of hemocyte proliferation [GO:0035207]; oogenesis [GO:0048477]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; somatic stem cell population maintenance [GO:0035019]; transcription initiation-coupled chromatin remodeling [GO:0045815]; wing disc pattern formation [GO:0035222]	cell cycle [GO:0007049]; chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; dendrite guidance [GO:0070983]; dendrite morphogenesis [GO:0048813]; DNA repair-dependent chromatin remodeling [GO:0140861]; hemopoiesis [GO:0030097]; male germ-line stem cell population maintenance [GO:0036098]; negative regulation of gene expression [GO:0010629]; negative regulation of hemocyte proliferation [GO:0035207]; oogenesis [GO:0048477]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; somatic stem cell population maintenance [GO:0035019]; transcription initiation-coupled chromatin remodeling [GO:0045815]; wing disc pattern formation [GO:0035222]	histone acetyltransferase complex [GO:0000123]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]	GO:0000123; GO:0000381; GO:0000812; GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0006325; GO:0006338; GO:0007049; GO:0008094; GO:0010629; GO:0016887; GO:0030097; GO:0035019; GO:0035207; GO:0035222; GO:0035267; GO:0036098; GO:0042393; GO:0045815; GO:0048477; GO:0048813; GO:0070983; GO:0140658; GO:0140713; GO:0140849; GO:0140861		3.6.4.-			IPR014001;IPR001650;IPR014012;IPR027417;IPR001005;IPR038718;IPR000330;
ENA	HBXI01001753	HBXI01001753.1	8.7540043226833	5.93766762168538	1.52010569643424	3.90608865923833	9.38021073700696e-5	0.0178583090195408	ENA	HBXI01001753	sp	Q32Q07	LRRN1_RAT	30.362	359	216	10	694	1755	100	429	3.59e-28	125	reviewed	LRRN1_RAT	Leucine-rich repeat neuronal protein 1 (Neuronal leucine-rich repeat protein 1) (NLRR-1)	Lrrn1	Rattus norvegicus (Rat)	716		extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; membrane [GO:0016020]; positive regulation of synapse assembly [GO:0051965]	positive regulation of synapse assembly [GO:0051965]	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; membrane [GO:0016020]	GO:0005615; GO:0016020; GO:0031012; GO:0051965					IPR000483;IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR001611;IPR003591;IPR032675;
ENA	HBXI01001867	HBXI01001867.1	16.8496184817998	0.821796368824694	0.235061173455954	3.49609574708724	4.72119259928948e-4	0.0407784798905837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01001950	HBXI01001950.1	425.463158046237	-0.661166164418782	0.126438451128009	-5.22915425268381	1.70287243170097e-7	2.44101754636005e-4	ENA	HBXI01001950	sp	Q5ZMJ9	SRRM1_CHICK	74.4	125	31	1	813	439	2	125	5.42e-52	186	reviewed	SRRM1_CHICK	Serine/arginine repetitive matrix protein 1	SRRM1 RCJMB04_1m21	Gallus gallus (Chicken)	888		spliceosomal complex [GO:0005681]; mRNA processing [GO:0006397]; regulation of mRNA splicing, via spliceosome [GO:0048024]; RNA splicing [GO:0008380]	mRNA processing [GO:0006397]; regulation of mRNA splicing, via spliceosome [GO:0048024]; RNA splicing [GO:0008380]	spliceosomal complex [GO:0005681]	GO:0005681; GO:0006397; GO:0008380; GO:0048024					IPR002483;IPR036483;
ENA	HBXI01002072	HBXI01002072.1	1079.51711732046	-0.395610735664243	0.105844991807354	-3.73764246100832	1.85753842706844e-4	0.0260524834120926	ENA	HBXI01002072	sp	P91950	GNAQ_HOMAM	96.884	353	11	0	1593	535	1	353	0	714	reviewed	GNAQ_HOMAM	Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q)		Homarus americanus (American lobster)	353	G protein-coupled receptor binding [GO:0001664]; G-protein beta/gamma-subunit complex binding [GO:0031683]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]	G protein-coupled receptor binding [GO:0001664]; G-protein beta/gamma-subunit complex binding [GO:0031683]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; G protein-coupled receptor signaling pathway [GO:0007186]	G protein-coupled receptor signaling pathway [GO:0007186]		GO:0001664; GO:0003924; GO:0005525; GO:0007186; GO:0031683; GO:0046872					IPR000654;IPR001019;IPR011025;IPR027417;
ENA	HBXI01002075	HBXI01002075.1	2092.25447353149	-0.153904979394329	0.0419627177001956	-3.6676599569625	2.44780419064329e-4	0.0297508929285717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
